"","T01","T02","T03","T31","T32","T33","T34","T5A5","T5A6","KMR19","KMR46"
"ENSMUSG00000086613.1",11,7,21,16,11,4,8,29,9,0,0
"ENSMUSG00000089730.2",6,13,20,6,14,28,3,10,34,0,0
"ENSMUSG00000101225.1",351,313,296,297,454,405,300,457,422,11,32
"ENSMUSG00000101012.6",4,1,9,9,5,9,12,6,6,0,0
"ENSMUSG00000008028.15",94,165,228,161,157,171,119,266,305,0,0
"ENSMUSG00000069118.3",10,15,20,10,17,14,6,20,42,0,0
"ENSMUSG00000101404.1",20,29,25,21,18,28,12,40,69,0,0
"ENSMUSG00000096573.2",0,2,11,1,9,6,4,12,9,0,0
"ENSMUSG00000028287.4",0,6,9,6,5,6,2,7,9,0,0
"ENSMUSG00000057047.5",15,13,23,34,12,24,14,49,44,0,1
"ENSMUSG00000099958.1",11,21,41,30,32,29,14,47,76,0,0
"ENSMUSG00000071721.5",2,1,4,1,3,0,1,4,4,0,0
"ENSMUSG00000067101.5",15,45,41,50,40,33,25,63,110,0,0
"ENSMUSG00000100010.5",37,46,116,82,79,87,54,138,164,0,0
"ENSMUSG00000023873.12",86,229,169,213,437,224,265,474,286,13,2
"ENSMUSG00000100314.6",83,126,244,163,162,179,170,233,365,0,0
"ENSMUSG00000092599.1",141,185,159,118,118,112,123,108,112,0,0
"ENSMUSG00000085102.1",103,122,158,32,59,48,60,74,96,0,0
"ENSMUSG00000030636.15",24,39,58,44,34,41,28,66,79,0,0
"ENSMUSG00000101855.1",32,47,104,71,71,78,41,93,151,0,0
"ENSMUSG00000102099.1",8,13,25,27,16,26,17,31,39,0,0
"ENSMUSG00000036557.8",102,159,280,469,714,1014,579,753,629,0,5
"ENSMUSG00000021850.13",49,58,107,140,191,180,140,327,448,0,0
"ENSMUSG00000058925.11",330,538,1101,817,797,790,595,1318,1616,0,0
"ENSMUSG00000031682.5",63,127,212,178,149,214,107,295,374,1,0
"ENSMUSG00000079476.1",0,1,4,0,2,1,3,2,1,0,0
"ENSMUSG00000029766.7",15,19,40,27,28,40,20,43,64,0,0
"ENSMUSG00000020617.13",82,153,226,192,149,229,139,259,360,0,0
"ENSMUSG00000031927.9",38,54,103,90,65,72,38,120,139,10,505
"ENSMUSG00000086482.1",5,1,2,0,1,3,1,3,4,0,0
"ENSMUSG00000085470.1",6,5,18,8,8,25,19,18,45,0,0
"ENSMUSG00000101275.1",4,8,17,11,12,15,9,14,31,0,0
"ENSMUSG00000102069.1",207,384,750,512,539,547,380,742,1042,0,0
"ENSMUSG00000100200.1",0,1,1,0,1,0,0,0,2,1,0
"ENSMUSG00000028589.2",36,64,110,98,71,96,43,138,184,0,0
"ENSMUSG00000079346.3",9,40,87,42,75,48,61,98,123,0,0
"ENSMUSG00000027886.7",40,47,74,104,197,165,169,266,212,14,5
"ENSMUSG00000041399.3",3,5,25,16,11,18,6,41,25,0,0
"ENSMUSG00000054727.2",27,41,105,76,58,59,29,119,146,1,0
"ENSMUSG00000085801.1",73,125,265,164,168,188,118,282,413,0,0
"ENSMUSG00000051054.3",13,44,38,52,57,78,55,63,85,0,2
"ENSMUSG00000042800.5",25,21,27,23,37,31,24,38,39,0,0
"ENSMUSG00000079666.8",60,103,204,162,154,123,89,224,233,0,5
"ENSMUSG00000094445.7",4,10,15,9,2,9,18,14,24,0,0
"ENSMUSG00000097671.2",5,5,6,15,17,15,16,18,29,0,0
"ENSMUSG00000015962.5",90,115,141,434,390,569,442,993,975,0,7
"ENSMUSG00000031509.10",132,177,335,233,212,215,192,499,572,0,1
"ENSMUSG00000085861.1",13,16,44,26,19,21,10,51,54,0,0
"ENSMUSG00000100625.6",9,8,9,13,20,30,26,51,22,1,2
