"","T01","T02","T03","T31","T32","T33","T34","T5A5","T5A6","KMR19","KMR46"
"ENSMUSG00000101368.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100227.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099682.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099456.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101840.1",10,31,59,31,47,56,29,111,108,2,0
"ENSMUSG00000100709.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100739.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101761.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101423.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101006.1",0,1,0,1,0,3,0,0,1,0,0
"ENSMUSG00000086567.1",20,55,56,18,57,39,23,78,52,12,34
"ENSMUSG00000099619.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099399.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102065.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100489.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101239.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101152.1",1741,2025,2321,1728,1997,1918,1842,6062,3968,0,0
"ENSMUSG00000101711.1",339,320,211,737,957,769,719,901,1036,0,0
"ENSMUSG00000101643.1",18,29,71,28,41,27,17,70,83,0,0
"ENSMUSG00000101298.1",5474,5957,5602,1063,2026,2083,1259,2420,1680,0,0
"ENSMUSG00000099521.1",14,40,341,34,34,42,19,51,84,0,0
"ENSMUSG00000101207.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099408.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101811.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099613.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101557.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101222.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100787.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099985.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099916.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101242.1",206,242,229,51,83,88,79,77,60,0,0
"ENSMUSG00000091110.1",2,3,5,6,2,11,3,9,23,0,0
"ENSMUSG00000099924.1",102,152,165,27,49,27,24,47,37,0,0
"ENSMUSG00000100816.1",9,4,6,5,4,9,13,13,13,16,7
"ENSMUSG00000100671.1",5,11,16,9,22,23,9,23,31,0,0
"ENSMUSG00000100313.1",20,33,39,20,29,6,18,30,30,0,1
"ENSMUSG00000101886.1",0,0,0,2,0,0,0,0,1,0,0
"ENSMUSG00000101744.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101100.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099523.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101732.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101056.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099939.1",0,0,0,1,3,0,1,3,1,0,0
"ENSMUSG00000100491.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099822.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101781.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101271.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099504.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101377.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101709.1",0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000099814.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100064.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100538.1",4,2,6,2,10,0,1,1,12,0,0
"ENSMUSG00000101117.1",0,1,6,3,1,1,1,3,17,0,0
"ENSMUSG00000101288.1",63,147,323,175,224,190,133,296,426,0,0
"ENSMUSG00000101644.1",0,1,0,0,0,0,0,2,2,0,0
"ENSMUSG00000099433.1",0,0,0,2,0,0,3,0,1,0,0
"ENSMUSG00000100288.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101989.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101264.1",0,5,9,5,6,13,2,6,17,0,0
"ENSMUSG00000099642.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099477.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100772.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099678.1",1,2,4,5,6,0,3,8,9,0,0
"ENSMUSG00000099442.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100052.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102056.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101723.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099684.6",1,0,1,0,0,0,0,2,0,0,0
"ENSMUSG00000100984.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100703.6",8,21,29,36,27,26,23,44,65,0,0
"ENSMUSG00000100527.1",40,82,85,53,73,114,68,111,161,0,0
"ENSMUSG00000100305.1",20,40,77,69,60,73,51,95,142,0,0
"ENSMUSG00000101573.1",0,1,3,3,1,2,1,2,3,0,0
"ENSMUSG00000099615.1",26,31,73,78,59,35,34,59,104,0,5
"ENSMUSG00000100265.1",23,24,54,44,41,44,45,91,81,0,0
"ENSMUSG00000101503.1",146,160,133,290,480,475,304,632,500,0,0
"ENSMUSG00000099496.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100773.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100243.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099912.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100377.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099478.1",228,199,222,101,155,124,106,184,113,7,22
"ENSMUSG00000101124.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100963.1",62,64,63,56,53,36,57,106,101,0,0
"ENSMUSG00000100621.1",403,463,383,143,267,235,170,332,311,0,0
"ENSMUSG00000099401.1",8396,8754,8446,2223,2434,2417,2390,2839,2017,0,0
"ENSMUSG00000101640.1",3786,4095,3716,2935,3572,3182,3363,6718,5101,0,0
"ENSMUSG00000101020.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100130.1",3172,3391,3514,2761,3544,3003,2971,5736,3236,0,0
"ENSMUSG00000101705.1",25,36,100,52,48,51,41,72,113,0,0
"ENSMUSG00000101911.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100151.1",7,4,14,9,3,11,9,28,18,0,0
"ENSMUSG00000101375.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101974.1",0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000101506.1",0,0,4,1,2,0,1,0,2,0,0
"ENSMUSG00000101849.1",3,0,13,3,7,12,6,21,12,0,0
"ENSMUSG00000102052.1",57,82,177,123,110,150,83,167,202,0,0
"ENSMUSG00000099882.1",1,2,5,3,2,1,0,5,5,0,0
"ENSMUSG00000101871.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101690.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101842.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101661.1",0,0,4,0,0,0,3,2,2,0,0
"ENSMUSG00000101521.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100961.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100948.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100806.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100453.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100262.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099965.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090468.3",0,3,1,1,0,0,0,2,0,0,0
"ENSMUSG00000100858.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099449.1",6,4,9,9,11,17,1,14,12,0,0
"ENSMUSG00000101651.1",102,73,80,29,6,31,19,40,15,0,0
"ENSMUSG00000101214.1",2204,2897,2854,1705,2042,1537,1478,2746,2867,1,0
"ENSMUSG00000100672.1",4,6,9,4,10,2,6,8,2,0,0
"ENSMUSG00000100440.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099649.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100067.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099821.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100471.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099561.1",31,56,100,65,68,89,68,135,174,0,0
"ENSMUSG00000099811.6",25,44,103,52,65,59,38,96,133,0,0
"ENSMUSG00000101145.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100641.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100082.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101714.1",38,29,51,20,13,22,16,34,52,0,0
"ENSMUSG00000101116.1",1,2,0,2,2,1,0,1,14,0,0
"ENSMUSG00000100280.2",13,19,45,18,25,37,26,38,34,1,0
"ENSMUSG00000100524.1",4,6,4,2,0,2,2,9,9,0,0
"ENSMUSG00000101803.1",1,6,6,10,6,1,0,5,16,0,0
"ENSMUSG00000101044.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100784.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099636.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099670.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101037.1",29,29,21,13,11,28,12,27,20,1,4
"ENSMUSG00000099785.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099897.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099628.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100649.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101030.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099815.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101706.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101627.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101421.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100704.1",52,65,154,128,109,113,69,150,239,0,0
"ENSMUSG00000099721.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101619.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101111.1",61618,73367,64397,35884,49743,29719,41887,63496,34734,0,2
"ENSMUSG00000101939.1",8781,10943,10434,5031,8108,5090,6129,8572,4516,0,0
"ENSMUSG00000100131.1",52586,59044,64622,26087,36788,22022,35924,53274,24837,0,0
"ENSMUSG00000102110.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100830.1",2,21,25,21,24,20,12,33,24,0,0
"ENSMUSG00000099505.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101055.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101388.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100161.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100712.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101792.1",76,99,182,132,167,194,102,181,429,0,0
"ENSMUSG00000100395.1",0,0,1,0,0,0,1,6,1,0,0
"ENSMUSG00000100965.1",1,4,7,3,7,8,4,2,15,0,0
"ENSMUSG00000100630.1",0,1,4,0,5,1,2,5,2,0,0
"ENSMUSG00000101035.1",0,0,0,1,0,0,0,0,1,0,0
"ENSMUSG00000099873.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101708.6",41,65,123,62,96,71,58,172,197,0,0
"ENSMUSG00000101920.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100490.1",31,41,84,44,32,45,50,63,101,5,0
"ENSMUSG00000101003.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099790.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100011.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100974.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100499.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101675.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102119.6",0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000099963.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100097.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101540.1",7,8,12,7,10,11,4,13,17,0,0
"ENSMUSG00000100770.1",41,42,36,20,33,29,22,45,29,0,0
"ENSMUSG00000100040.1",2,1,0,3,0,0,1,4,3,0,0
"ENSMUSG00000100263.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100034.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102058.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101052.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100407.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100946.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101851.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100531.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099483.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100027.1",0,0,2,1,2,0,0,1,3,0,0
"ENSMUSG00000099363.1",0,0,1,0,3,2,4,3,1,0,0
"ENSMUSG00000100793.1",1,2,12,14,13,5,6,7,18,0,0
"ENSMUSG00000101336.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100008.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101134.1",0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099738.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101988.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100537.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099855.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100928.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099695.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100384.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094789.7",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100399.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099361.1",2,2,4,0,6,1,4,9,1,0,0
"ENSMUSG00000099802.1",3,8,3,7,2,7,6,4,10,0,0
"ENSMUSG00000101448.1",465,669,1217,909,830,863,670,1372,1653,0,0
"ENSMUSG00000102008.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101166.6",2247,6588,6512,4630,8416,6854,4084,9775,7736,2,0
"ENSMUSG00000099804.1",9,12,15,15,16,6,11,33,31,0,0
"ENSMUSG00000101767.1",6,19,5,9,8,13,2,16,15,0,0
"ENSMUSG00000101662.1",240,306,294,79,123,116,81,315,189,0,1
"ENSMUSG00000101793.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099510.2",1037,1009,1110,824,691,1029,1196,1497,918,0,0
"ENSMUSG00000099452.1",17,15,33,26,30,36,29,22,50,0,0
"ENSMUSG00000101813.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099542.1",0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000100402.1",171,189,197,46,74,53,40,96,86,0,0
"ENSMUSG00000100049.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100477.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101699.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099372.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101396.1",4,8,3,2,1,2,0,1,0,0,0
"ENSMUSG00000099664.1",7,30,35,19,33,37,28,38,66,0,0
"ENSMUSG00000100183.1",10,2,6,7,8,4,10,11,14,6,1
"ENSMUSG00000099568.1",169,177,192,203,248,365,131,1071,595,0,0
"ENSMUSG00000100387.1",6,2,8,5,4,5,1,12,16,0,0
"ENSMUSG00000099812.1",5,24,27,21,23,21,11,31,45,0,0
"ENSMUSG00000101613.1",34,49,102,61,72,47,44,86,133,0,0
"ENSMUSG00000101472.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100790.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101302.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102125.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099461.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101681.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100707.1",923,876,602,134,225,152,201,246,175,0,2
"ENSMUSG00000100168.1",194,386,621,487,399,482,352,672,887,0,0
"ENSMUSG00000100160.1",1,1,0,1,2,0,0,1,5,0,0
"ENSMUSG00000099635.1",1,14,14,3,7,14,6,9,14,0,0
"ENSMUSG00000101320.1",965,1130,1009,610,1018,1009,750,1796,1094,1,4
"ENSMUSG00000101452.1",28,29,8,10,11,13,8,16,18,15,8
"ENSMUSG00000100330.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101943.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100724.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100877.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101172.1",38,77,86,49,64,84,73,110,116,9,1
"ENSMUSG00000100927.1",288,193,201,169,234,242,174,222,193,0,0
"ENSMUSG00000099606.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100063.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099908.1",5167,5544,5129,4160,5544,5148,4124,5770,5219,0,0
"ENSMUSG00000095264.1",0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000099416.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099646.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099535.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099640.1",8,4,10,14,6,14,2,15,33,0,0
"ENSMUSG00000100952.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101873.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099730.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099599.1",56,73,156,102,77,119,77,176,191,0,0
"ENSMUSG00000099462.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091847.1",0,0,0,0,0,2,0,1,1,0,0
"ENSMUSG00000100716.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099913.1",745,821,697,255,200,202,214,434,335,0,0
"ENSMUSG00000099816.1",2,0,4,1,1,0,1,1,2,0,0
"ENSMUSG00000100972.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101541.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101597.1",2,2,0,0,0,6,2,2,2,0,0
"ENSMUSG00000099459.2",4,7,7,10,10,8,4,16,8,2,0
"ENSMUSG00000100235.6",564,683,606,184,217,195,177,387,418,4,12
"ENSMUSG00000100956.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100904.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100942.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100333.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106812.1",1,0,5,1,0,4,2,1,5,0,0
"ENSMUSG00000099672.1",8,17,37,17,20,15,8,43,54,0,0
"ENSMUSG00000099789.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099593.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100107.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100051.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101215.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099800.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102026.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100412.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101351.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101956.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100124.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100645.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100417.1",26,32,67,41,38,43,25,72,73,0,8
"ENSMUSG00000100780.1",0,2,3,2,1,1,0,4,4,0,0
"ENSMUSG00000101730.1",0,1,1,0,0,0,0,0,0,2,0
"ENSMUSG00000101410.1",3,4,11,15,6,12,2,19,19,0,0
"ENSMUSG00000099781.1",0,0,1,0,0,0,0,2,4,0,0
"ENSMUSG00000100299.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101127.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100176.1",14,42,24,20,29,13,22,35,39,0,0
"ENSMUSG00000101107.1",0,0,1,2,2,1,0,1,0,0,0
"ENSMUSG00000101036.1",0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000099783.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099960.1",96,134,257,171,148,174,110,234,287,0,1
"ENSMUSG00000102006.1",0,0,0,1,0,0,0,0,3,0,0
"ENSMUSG00000100113.1",281,485,39,633,1329,620,542,2111,1274,0,5
"ENSMUSG00000101525.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100808.1",0,2,2,5,7,4,6,8,13,0,0
"ENSMUSG00000099723.1",0,1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000100797.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100091.1",1,0,0,0,0,0,1,0,2,0,0
"ENSMUSG00000100874.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101689.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101285.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100048.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100325.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100544.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100675.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100260.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101102.1",442,490,809,180,222,213,131,371,329,0,0
"ENSMUSG00000100685.1",220,272,307,153,168,111,145,351,291,0,0
"ENSMUSG00000100547.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100809.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099962.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101183.1",4,6,0,8,1,0,6,7,10,0,0
"ENSMUSG00000101203.1",0,1,1,0,3,4,6,1,1,0,0
"ENSMUSG00000100420.1",1,1,8,2,5,5,2,9,9,0,0
"ENSMUSG00000100508.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100771.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101090.6",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089639.1",4,3,5,27,54,11,31,41,26,0,0
"ENSMUSG00000102020.1",0,3,2,0,0,1,4,4,4,0,0
"ENSMUSG00000100924.1",0,3,1,1,2,1,1,4,4,0,0
"ENSMUSG00000101526.1",0,0,4,0,4,4,5,5,6,0,0
"ENSMUSG00000099770.1",0,3,1,3,1,2,1,2,1,0,0
"ENSMUSG00000100497.1",0,9,5,6,8,8,3,8,12,0,0
"ENSMUSG00000102064.1",0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000099644.1",2,1,8,3,5,7,4,5,4,0,0
"ENSMUSG00000101853.1",3,4,6,15,5,22,5,9,17,0,0
"ENSMUSG00000101114.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099445.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101500.1",2,1,3,1,4,6,0,0,0,0,0
"ENSMUSG00000102120.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099382.1",1,3,4,2,1,2,3,4,2,0,0
"ENSMUSG00000101491.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101080.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100185.1",11,7,20,5,16,16,5,18,25,0,0
"ENSMUSG00000101645.1",11415,13578,12432,9053,12912,10164,9819,20755,13543,0,0
"ENSMUSG00000100659.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100197.1",79,119,259,151,190,220,114,275,388,0,0
"ENSMUSG00000100496.1",1,1,0,0,2,4,2,3,2,0,0
"ENSMUSG00000099502.1",0,1,12,1,4,4,0,1,2,0,0
"ENSMUSG00000099424.1",4,2,8,5,6,6,2,12,17,0,0
"ENSMUSG00000100135.1",18,15,62,33,33,50,25,65,68,0,0
"ENSMUSG00000100237.1",6,1,5,0,9,7,0,9,8,0,0
"ENSMUSG00000100592.1",0,0,0,0,0,2,0,3,1,0,1
"ENSMUSG00000100569.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101558.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101712.1",0,0,0,1,1,0,2,2,3,0,0
"ENSMUSG00000100360.1",0,2,0,3,1,8,3,3,4,0,0
"ENSMUSG00000100230.1",4,1,4,0,0,11,0,1,8,0,0
"ENSMUSG00000101086.1",15,14,14,5,9,1,8,6,23,0,0
"ENSMUSG00000101608.1",25,40,11,13,26,25,11,41,22,0,2
"ENSMUSG00000099906.1",75,133,185,28,68,33,16,162,107,0,4
"ENSMUSG00000101123.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100919.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100368.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101276.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101884.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100648.1",1,4,5,1,8,4,1,4,1,9,15
"ENSMUSG00000093891.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099947.1",0,1,0,0,1,0,0,2,2,0,0
"ENSMUSG00000102070.1",43770,57416,61583,28572,39007,25155,34670,57708,28259,0,0
"ENSMUSG00000101467.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100849.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101115.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101352.1",1,0,2,7,0,2,0,4,6,0,0
"ENSMUSG00000102003.1",0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000099657.2",5,6,6,7,10,5,7,33,25,0,0
